MEDICARE PROVIDER/SUPPLIER TYPE DESCRIPTION,PROVIDER TAXONOMY CODE,SPECIALTY UNI,Cat.,
Certified Clinical Nurse Specialist,364ST0500X,"Physician Assistants & Advanced Practice Nursing Providers/Clinical Nurse Specialist, Transplantation",BAD,
Unknown Supplier/Provider Specialty[4],,,BAD,
Physician/Neuropsychiatry,2084P0802X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Addiction Psychiatry",BAD,
Physician/Neuropsychiatry,2084B0040X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Behavioral Neurology & Neuropsychiatry",BAD,
Physician/Neuropsychiatry,2084D0003X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Diagnostic Neuroimaging",BAD,
Physician/Neuropsychiatry,2084F0202X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Forensic Psychiatry",BAD,
Physician/Neuropsychiatry,2084P0805X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Geriatric Psychiatry",BAD,
Physician/Neuropsychiatry,2084N0008X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neuromuscular Medicine",BAD,
Physician/Neuropsychiatry,2084P0800X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Psychiatry",BAD,
Physician/Neuropsychiatry,2084P0015X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Psychosomatic Medicine",BAD,
Physician/Neuropsychiatry,2084B0002X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Bariatric Medicine",BAD,
Physician/Neuropsychiatry,2084P0804X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Child & Adolescent Psychiatry",BAD,
Physician/Neuropsychiatry,2084N0600X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Clinical Neurophysiology",GOOD,
Physician/Neuropsychiatry,2084H0002X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Hospice & Palliative Medicine",BAD,
Physician/Neuropsychiatry,2084P0005X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurodevelopmental Disabilities",BAD,
Physician/Neuropsychiatry,2084S0012X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Sleep Medicine",BAD,
Physician/Neuropsychiatry,2084V0102X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Vascular Neurology",BAD,
Physician/Maxillofacial Surgery,204E00000X,Allopathic & Osteopathic Physicians/Oral and Maxillofacial Surgery,BAD,
Physician/Preventive Medicine,2083P0901X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Public Health & General Preventive Medicine",BAD,
Physician/Preventive Medicine,2083A0100X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Aerospace Medicine",BAD,
Physician/Preventive Medicine,2083T0002X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Medical Toxicology",BAD,
Physician/Preventive Medicine,2083X0100X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Occupational Medicine",BAD,
Physician/Preventive Medicine,2083P0500X,"Allopathic & Osteopathic Physicians/Preventive Medicine,  Preventive Medicine/Occupational Environmental Medicine",BAD,
Physician/Preventive Medicine,2083P0011X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Undersea and Hyperbaric Medicine",BAD,
Physician/Preventive Medicine,2083A0300X,Allopathic & Osteopathic Physicians/Preventive Medicine/Addiction Medicine,BAD,
Physician/Preventive Medicine,2083B0002X,Allopathic & Osteopathic Physicians/Preventive Medicine/Obesity Medicine,BAD,
Physician/Preventive Medicine,2083C0008X,Allopathic & Osteopathic Physicians/Preventive Medicine/Clinical Informatics,BAD,
Physician/Hematology-Oncology,207RH0003X,"Allopathic & Osteopathic Physicians/Internal Medicine, Hematology & Oncology",BAD,
Physician/Hematology,207RH0000X,"Allopathic & Osteopathic Physicians/Internal Medicine, Hematology",BAD,
Licensed Clinical Social Worker,1041C0700X,"Behavioral Health & Social Service Providers/Social Worker, Clinical",BAD,
Physician/Addiction Medicine,207L00000X,"Allopathic & Osteopathic Physicians/Anesthesiology, Addiction Medicine",BAD,
Physician/Addiction Medicine,207QA0401X,"Allopathic & Osteopathic Physicians/Family Medicine, Addiction Medicine",BAD,
Physician/Addiction Medicine,207RA0401X,"Allopathic & Osteopathic Physicians/Internal Medicine, Addiction Medicine",BAD,
Physician/Addiction Medicine,2084A0401X,"Allopathic & Osteopathic Physicians/Psychiatry & Neurology, Addiction Medicine",BAD,
Physician/Cardiac Surgery,208G00000X,Allopathic & Osteopathic Physicians/Thoracic Surgery (Cardiothoracic Vascular Surgery),BAD,
Physician/Vascular Surgery,2086S0129X,"Allopathic & Osteopathic Physicians/Surgery, Vascular Surgery",BAD,
Physician/Peripheral Vascular Disease,2086S0129X,"Allopathic & Osteopathic Physicians/Surgery, Vascular Surgery",BAD,
Slide Preparation Facility,247200000X,"Technologists, Technicians & Other Technical Service Providers/Technician, Other",BAD,
Radiation Therapy Center,261QR0200X,"Ambulatory Health Care Facilities/Clinic/Center, Radiology",BAD,
Mass Immunizer Roster Biller[2],,,BAD,
Registered Dietitian or Nutrition Professional,133V00000X,"Dietary & Nutritional Service Providers/Dietician, Registered",BAD,
Registered Dietitian or Nutrition Professional,133VN1006X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Metabolic",BAD,
Registered Dietitian or Nutrition Professional,133VN1004X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Pediatric",BAD,
Registered Dietitian or Nutrition Professional,133VN1005X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Renal",BAD,
Registered Dietitian or Nutrition Professional,133VN1101X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Gerontological",BAD,
Registered Dietitian or Nutrition Professional,133VN1201X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Obesity and Weight Management",BAD,
Registered Dietitian or Nutrition Professional,133VN1301X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Oncology",BAD,
Registered Dietitian or Nutrition Professional,133VN1401X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Pediatric Critical Care",BAD,
Registered Dietitian or Nutrition Professional,133VN1501X,"Dietary & Nutritional Service Providers/Dietician, Registered, Nutrition, Sports Dietetics",BAD,
Clinic or Group Practice,261QM1300X,"Ambulatory Health Care Facilities/Clinic/Center, Multi-Specialty  ",BAD,
Clinic or Group Practice,261QP2000X,"Ambulatory Health Care Facilities/Clinic/Center, Physical Therapy",BAD,
Clinic or Group Practice,193200000X,Group/Multi-Specialty,BAD,
Clinic or Group Practice,261Q00000X,"Ambulatory Health Care Facilities/Clinic/Center, Multi-Specialty  ",BAD,
Clinic or Group Practice,193400000X,Group/Single-Specialty,BAD,
Clinical Laboratory,291U00000X,Laboratories/Clinical Medical Laboratory,BAD,
"Psychologist, Clinical",103TC0700X,"Behavioral Health & Social Service Providers/Psychologist, Clinical",BAD,
Occupational Therapist in Private Practice,225X00000X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist",BAD,
Occupational Therapist in Private Practice,225XG0600X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Gerontology",BAD,
Occupational Therapist in Private Practice,225XH1200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Hand",BAD,
Occupational Therapist in Private Practice,225XP0019X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Physical Rehabilitation",BAD,
Occupational Therapist in Private Practice,225XR0403X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Driving and Community Mobility",BAD,
Occupational Therapist in Private Practice,225XE0001X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Environmental Modification",BAD,
Occupational Therapist in Private Practice,225XE1200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Ergonomics",BAD,
Occupational Therapist in Private Practice,225XF0002X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Feeding, Eating &Swallowing",BAD,
Occupational Therapist in Private Practice,225XH1300X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Human Factors",BAD,
Occupational Therapist in Private Practice,225XL0004X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Low Vision",BAD,
Occupational Therapist in Private Practice,225XM0800X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Mental Health",BAD,
Occupational Therapist in Private Practice,225XN1300X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Neurorehabilitation",BAD,
Occupational Therapist in Private Practice,225XP0200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Occupational Therapist, Pediatrics",BAD,
Physical Therapist in Private Practice,225100000X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist",BAD,
Physical Therapist in Private Practice,2251G0304X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Geriatrics",BAD,
Physical Therapist in Private Practice,2251H1200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Hand",BAD,
Physical Therapist in Private Practice,2251N0400X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Neurology",BAD,
Physical Therapist in Private Practice,2251X0800X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Orthopedic",BAD,
Physical Therapist in Private Practice,2251S0007X,"Respiratory, Rehabilitative & Restorative Service Providers/Physical Therapist, Sports",BAD,
Physical Therapist in Private Practice,2251C2600X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Cardiopulmonary",BAD,
Physical Therapist in Private Practice,2251E1300X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Electrophysiology, Clinical",BAD,
Physical Therapist in Private Practice,2251E1200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Ergonomics",BAD,
Physical Therapist in Private Practice,2251H1300X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Human Factors",BAD,
Physical Therapist in Private Practice,2251P0200X,"Respiratory, Developmental, Rehabilitative & Restorative Service Providers/Physical Therapist, Pediatrics",BAD,
Audiologist,231H00000X,"Speech, Language and Hearing Service Providers/Audiologist",BAD,
Audiologist,231HA2500X,"Speech, Language and Hearing Service Providers/Audiologist/Assistive Technology Supplier",BAD,
Audiologist,231HA2400X,"Speech, Language and Hearing Service Providers/Audiologist, Assistive Technology Practitioner",BAD,
Portable X-Ray Supplier,335V00000X,Suppliers/Portable X-Ray Supplier,BAD,
"Psychologist, Clinical",106S00000X,Behavioral Health & Social Service Providers/Technician,BAD,
"Psychologist, Clinical",103T00000X,Behavioral Health & Social Service Providers/Psychologist,BAD,
"Psychologist, Clinical",103TA0400X,"Behavioral Health & Social Service Providers/Psychologist, Addiction (Substance Abuse Disorder)",BAD,
"Psychologist, Clinical",103TA0700X,"Behavioral Health & Social Service Providers/Psychologist, Adult Development & Aging",BAD,
"Psychologist, Clinical",103TC0700X,"Behavioral Health & Social Service Providers/Psychologist, Clinical",BAD,
"Psychologist, Clinical",103TC2200X,"Behavioral Health & Social Service Providers/Psychologist, Clinical Child & Adolescent",BAD,
"Psychologist, Clinical",103TB0200X,"Behavioral Health & Social Service Providers/Psychologist, Cognitive & Behavioral",BAD,
"Psychologist, Clinical",103TC1900X,"Behavioral Health & Social Service Providers/Psychologist, Counseling",BAD,
"Psychologist, Clinical",103TE1000X,"Behavioral Health & Social Service Providers/Psychologist, Educational",BAD,
"Psychologist, Clinical",103TE1100X,"Behavioral Health & Social Service Providers/Psychologist, Exercise & Sports",BAD,
"Psychologist, Clinical",103TF0000X,"Behavioral Health & Social Service Providers/Psychologist, Family",BAD,
"Psychologist, Clinical",103TF0200X,"Behavioral Health & Social Service Providers/Psychologist, Forensic",BAD,
"Psychologist, Clinical",103TP2701X,"Behavioral Health & Social Service Providers/Psychologist, Group Psychotherapy",BAD,
"Psychologist, Clinical",103TH0004X,"Behavioral Health & Social Service Providers/Psychologist, Health",BAD,
"Psychologist, Clinical",103TH0100X,"Behavioral Health & Social Service Providers/Psychologist, Health Service",BAD,
"Psychologist, Clinical",103TM1700X,"Behavioral Health & Social Service Providers/Psychologist, Men & Masculinity",BAD,
"Psychologist, Clinical",103TM1800X,"Behavioral Health & Social Service Providers/Psychologist, Intellectual & Developmental Disabilities ",BAD,
"Psychologist, Clinical",103TP0016X,"Behavioral Health & Social Service Providers/Psychologist, Prescribing (Medical)",BAD,
"Psychologist, Clinical",103TP0814X,"Behavioral Health & Social Service Providers/Psychologist, Psychoanalysis",BAD,
"Psychologist, Clinical",103TP2700X,"Behavioral Health & Social Service Providers/Psychologist, Psychotherapy",BAD,
"Psychologist, Clinical",103TR0400X,"Behavioral Health & Social Service Providers/Psychologist, Rehabilitation",BAD,
"Psychologist, Clinical",103TS0200X,"Behavioral Health & Social Service Providers/Psychologist, School",BAD,
"Psychologist, Clinical",103TW0100X,"Behavioral Health & Social Service Providers/Psychologist, Women",BAD,
"Psychologist, Clinical",106E00000X,Behavioral Health & Social Service Providers/Assistant Behavior Analyst,BAD,
Voluntary Health or Charitable Agency[1],251V00000X,Agencies/Voluntary or Charitable,BAD,
Public Health or Welfare Agency,251K00000X,Agencies/Public Health or Welfare,BAD,
Ambulance Service Provider,341600000X,Transportation Services/Ambulance,BAD,
Ambulance Service Provider,3416A0800X,"Transportation Services/Ambulance, Air Transport",BAD,
Ambulance Service Provider,3416L0300X,"Transportation Services/Ambulance, Land Transport",BAD,
Ambulance Service Provider,3416S0300X,"Transportation Services/Ambulance, Water Transport",BAD,
Medical Supply Company with Pharmacist,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies,BAD,
Medical Supply Company with Pharmacist,333600000X,Suppliers/Pharmacy,BAD,
Medical Supply Company with Pharmacist,3336C0002X,"Suppliers/Pharmacy, Clinic Pharmacy",BAD,
Medical Supply Company with Pharmacist,3336C0003X,"Suppliers/Pharmacy, Community/Retail Pharmacy",BAD,
Medical Supply Company with Pharmacist,3336C0004X,"Suppliers/Pharmacy, Compounding Pharmacy",BAD,
Medical Supply Company with Pharmacist,3336H0001X,"Suppliers/Pharmacy, Home Infusion Therapy Pharmacy",BAD,
Medical Supply Company with Pharmacist,3336I0012X,"Suppliers/Pharmacy, Institutional Pharmacy",BAD,
Medical Supply Company with Pharmacist,3336L0003X,"Suppliers/Pharmacy, Long-term Care Pharmacy",BAD,
Medical Supply Company with Pharmacist,3336M0002X,"Suppliers/Pharmacy, Mail Order Pharmacy",BAD,
Medical Supply Company with Pharmacist,3336M0003X,"Suppliers/Pharmacy, Managed Care Organization Pharmacy",BAD,
Medical Supply Company with Pharmacist,3336N0007X,"Suppliers/Pharmacy, Nuclear Pharmacy",BAD,
Medical Supply Company with Pharmacist,3336S0011X,"Suppliers/Pharmacy, Specialty Pharmacy",BAD,
Individual Certified Prosthetist-Orthotist,222Z00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Orthotist",BAD,
Individual Certified Prosthetist-Orthotist,229N00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Anaplastologist",BAD,
Individual Certified Prosthetist-Orthotist,224P00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Prosthetist",BAD,
Individual Certified Prosthetist,224P00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Prosthetist
",BAD,
Individual Certified Prosthetist,229N00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Anaplastologist",BAD,
Individual Certified Orthotist,222Z00000X,"Respiratory, Developmental, Rehabilitative, and Restorative Service Providers/Orthotist",BAD,
Other Medical Supply Company,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies,BAD,
Medical Supply Company with Orthotist-Prosthetist,335E00000X,Suppliers/Prosthetic/Orthotic Supplier,BAD,
Medical Supply Company with Prosthetist,335E00000X,Suppliers/Prosthetic/Orthotic Supplier,BAD,
Medical Supply Company with Orthotist,335E00000X,Suppliers/Prosthetic/Orthotic Supplier,BAD,
Nurse Practitioner,363LN0000X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Neonatal",BAD,
Nurse Practitioner,363LN0005X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Neonatal, Critical Care",BAD,
Nurse Practitioner,363LX0001X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Obstetrics & Gynecology",BAD,
Nurse Practitioner,363LP1700X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Perinatal",BAD,
Nurse Practitioner,363LP0808X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Psychiatric/Mental Health",BAD,
Nurse Practitioner,363LS0200X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, School",BAD,
Ambulatory Surgical Center,261QA1903X,"Ambulatory Health Care Facilities/Clinic-Center, Ambulatory Surgical",BAD,
Independent Diagnostic Testing Facility (IDTF),293D00000X,Laboratories/Physiological Laboratory,BAD,
Physician/Endocrinology,207RE0101X,"Allopathic & Osteopathic Physicians/Internal Medicine, Endocrinology, Diabetes & Metabolism",BAD,
Mammography Center,261QR0208X,"Ambulatory Health Care Facilities/Clinic-Center, Radiology, Mammography",BAD,
Mammography Center,261QR0207X,"Ambulatory Health Care Facilities/Clinic-Center, Radiology, Mobile Mammography",BAD,
Physician/Infectious Disease,207RI0200X,"Allopathic & Osteopathic Physicians/Internal Medicine, Infectious Disease",BAD,
Certified Registered Nurse Anesthetist (CRNA),367500000X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Anesthetist, Certified Registered ",BAD,
Certified Nurse Midwife,367A00000X,"Physician Assistants & Advanced Practice Nursing Providers/Midwife, Certified Nurse",BAD,
Optometry,152W00000X,Eye and Vision Service Providers/Optometrist,BAD,
Optometry,152WC0802X,"Eye and Vision Service Providers/Optometrist, Corneal and Contact Management",BAD,
Optometry,152WL0500X,"Eye and Vision Service Providers/Optometrist, Low Vision Rehabilitation",BAD,
Optometry,152WX0102X,"Eye and Vision Service Providers/Optometrist, Occupational Vision",BAD,
Optometry,152WP0200X,"Eye and Vision Service Providers/Optometrist, Pediatrics",BAD,
Optometry,152WS0006X,"Eye and Vision Service Providers/Optometrist, Sports Vision",BAD,
Optometry,152WV0400X,"Eye and Vision Service Providers/Optometrist, Vision Therapy",BAD,
Physician/Nephrology,207RN0300X,"Allopathic & Osteopathic Physicians/Internal Medicine, Nephrology",BAD,
Physician/Pediatric Medicine,208000000X,Allopathic & Osteopathic Physicians/Pediatrics,BAD,
Physician/Pediatric Medicine,2080A0000X,"Allopathic & Osteopathic Physicians/Pediatrics, Adolescent Medicine",BAD,
Physician/Pediatric Medicine,2080I0007X,"Allopathic & Osteopathic Physicians/Pediatrics, Clinical & Laboratory Immunology",BAD,
Physician/Pediatric Medicine,2080P0006X,"Allopathic & Osteopathic Physicians/Pediatrics, Developmental–Behavioral Pediatrics",BAD,
Physician/Pediatric Medicine,2080H0002X,"Allopathic & Osteopathic Physicians/Pediatrics, Hospice and Palliative Medicine",BAD,
Physician/Pediatric Medicine,2080T0002X,"Allopathic & Osteopathic Physicians/Pediatrics, Medical Toxicology",BAD,
Physician/Pediatric Medicine,2080N0001X,"Allopathic & Osteopathic Physicians/Pediatrics, Neonatal-Perinatal Medicine",BAD,
Physician/Pediatric Medicine,2080P0008X,"Allopathic & Osteopathic Physicians/Pediatrics, Neurodevelopmental Disabilities",BAD,
Physician/Pediatric Medicine,2080P0201X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Allergy & Immunology",BAD,
Physician/Pediatric Medicine,2080P0202X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Cardiology",BAD,
Physician/Pediatric Medicine,2080P0203X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Critical Care Medicine",BAD,
Physician/Pediatric Medicine,2080P0204X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Emergency Medicine",BAD,
Physician/Pediatric Medicine,2080P0205X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Endocrinology",BAD,
Physician/Pediatric Medicine,2080P0206X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Gastroenterology",BAD,
Physician/Pediatric Medicine,2080P0207X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Hematology-Oncology",BAD,
Physician/Pediatric Medicine,2080P0208X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Infectious Diseases",BAD,
Physician/Pediatric Medicine,2080P0210X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Nephrology",BAD,
Physician/Pediatric Medicine,2080P0214X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Pulmonology",BAD,
Physician/Pediatric Medicine,2080T0004X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Transplant Hepatology",BAD,
Physician/Pediatric Medicine,2080S0012X,"Allopathic & Osteopathic Physicians/Pediatrics, Sleep Medicine",BAD,
Physician/Pediatric Medicine,2080B0002X,Allopathic & Osteopathic Physicians/Pediatrics/Obesity Medicine,BAD,
Physician/Pediatric Medicine,2080C0008X,Allopathic & Osteopathic Physicians/Pediatrics/Child Abuse Pediatrics,BAD,
Physician/Nuclear Medicine,207U00000X,Allopathic & Osteopathic Physicians/Nuclear Medicine,BAD,
Physician/Nuclear Medicine,2085N0904X,Allopathic & Osteopathic Physicians/Radiology/Neuroradiology/Nuclear Radiology,BAD,
Physician/Nuclear Medicine,207UN0903X,"Allopathic & Osteopathic Physicians/Nuclear Medicine, In Vivo & In Vitro Nuclear Medicine",BAD,
Physician/Nuclear Medicine,207UN0901X,"Allopathic & Osteopathic Physicians/Nuclear Medicine, Nuclear Cardiology",BAD,
Physician/Nuclear Medicine,207UN0902X,"Allopathic & Osteopathic Physicians/Nuclear Medicine, Nuclear Imaging & Therapy",BAD,
Chiropractic,111N00000X,Chiropractic Providers/Chiropractor,BAD,
Chiropractic,111NI0013X,"Chiropractic Providers/Chiropractor, Independent Medical Examiner",BAD,
Chiropractic,111NI0900X,"Chiropractic Providers/Chiropractor, Internist",BAD,
Chiropractic,111NN0400X,"Chiropractic Providers/Chiropractor, Neurology",BAD,
Chiropractic,111NX0100X,"Chiropractic Providers/Chiropractor, Occupational Medicine",BAD,
Chiropractic,111NX0800X,"Chiropractic Providers/Chiropractor, Orthopedic",BAD,
Chiropractic,111NR0400X,"Chiropractic Providers/Chiropractor, Rehabilitation",BAD,
Chiropractic,111NS0005X,"Chiropractic Providers/Chiropractor, Sports Physician",BAD,
Chiropractic,111NN1001X,"Chiropractic Providers/Chiropractor, Nutrition",BAD,
Chiropractic,111NP0017X,"Chiropractic Providers/Chiropractor, Pediatric Chiropractor",BAD,
Chiropractic,111NR0200X,"Chiropractic Providers/Chiropractor, Radiology",BAD,
Chiropractic,111NT0100X,"Chiropractic Providers/Chiropractor, Thermography",BAD,
Physician/Urology,208800000X,Allopathic & Osteopathic Physicians/Urology,BAD,
Physician/Urology,2088P0231X,"Allopathic & Osteopathic Physicians/Urology, Pediatric Urology",BAD,
Physician/Urology,2088F0040X,Female Pelvic Medicine & Reconstructive Surgery,BAD,
Physician/Thoracic Surgery,208G00000X,Allopathic & Osteopathic Physicians/Thoracic Surgery (Cardiothoracic Vascular Surgery),BAD,
Anesthesiology Assistant,367H00000X,Physician Assistants & Advanced Practice Nursing Providers/Anesthesiologist Assistant,BAD,
Intensive Cardiac Rehabilitation,163WC3500X,"Nursing Service Providers, Registered Nurse, Cardiac Rehabilitation",BAD,
Intensive Cardiac Rehabilitation,261QR0404X,"Cardiac Rehabilitation,Clinic/Center",BAD,
Physician/Diagnostic Radiology,2085R0202X,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",BAD,
Physician/Diagnostic Radiology,2085R0205X,"Allopathic & Osteopathic Physicians/Radiology, Radiological Physics",BAD,
Physician/Diagnostic Radiology,2085U0001X,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Ultrasound",BAD,
Physician/Diagnostic Radiology,2085D0003X,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Neuroimaging",BAD,
Physician/Diagnostic Radiology,2085P0229X,"Allopathic & Osteopathic Physicians/Radiology, Pediatric Radiology",BAD,
Physician/Pulmonary Disease,207RP1001X,"Allopathic & Osteopathic Physicians/Internal Medicine, Pulmonary Disease",BAD,
Physician/Colorectal Surgery (Proctology),208C00000X,Allopathic & Osteopathic Physicians/Colon & Rectal Surgery,BAD,
Physician/Psychiatry,2084P0800X,Allopathic & Osteopathic Physicians/Psychiatry,BAD,
Physician/Psychiatry,2084P0301X,"Allopathic & Osteopathic Physicians/Psychiatry & Neurology/Respiratory, Developmental, Rehabilitative and Restorative Service , Brain Injury Medicine",BAD,
Physician/Physical Medicine and Rehabilitation,2081H0002X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Hospice and Palliative Medicine",BAD,
Physician/Physical Medicine and Rehabilitation,2081N0008X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Neuromuscular Medicine",BAD,
Physician/Plastic and Reconstructive Surgery,2082S0099X,"Allopathic & Osteopathic Physicians/Plastic Surgery, Plastic Surgery Within the Head and Neck",BAD,
Physician/Plastic and Reconstructive Surgery,208200000X,Allopathic & Osteopathic Physicians/Plastic Surgery,BAD,
Physician/Sports Medicine,2081P0301X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Brain Injury",BAD,
Physician/Sports Medicine,207PS0010X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Sports Medicine",BAD,
Physician/Pathology,207ZP0101X,"Allopathic & Osteopathic Physicians/Pathology, Anatomic Pathology",BAD,
Physician/Pathology,207ZP0102X,"Allopathic & Osteopathic Physicians/Pathology, Anatomic Pathology & Clinical Pathology",BAD,
Physician/Pathology,207ZB0001X,"Allopathic & Osteopathic Physicians/Pathology, Blood Banking & Transfusion Medicine",BAD,
Physician/Pathology,207ZP0104X,"Allopathic & Osteopathic Physicians/Pathology, Chemical Pathology",BAD,
Physician/Pathology,207ZC0006X,"Allopathic & Osteopathic Physicians/Pathology, Clinical Pathology",BAD,
Physician/Pathology,207ZP0105X,"Allopathic & Osteopathic Physicians/Pathology, Clinical Pathology/Laboratory Medicine",BAD,
Physician/Pathology,207ZC0500X,"Allopathic & Osteopathic Physicians/Pathology, Cytopathology",BAD,
Physician/Pathology,207ZD0900X,"Allopathic & Osteopathic Physicians/Pathology, Dermapathology",BAD,
Physician/Pathology,207ZF0201X,"Allopathic & Osteopathic Physicians/Pathology, Forensic Pathology",BAD,
Physician/Pathology,207ZH0000X,"Allopathic & Osteopathic Physicians/Pathology, Hematology",BAD,
Physician/Pathology,207ZI0100X,"Allopathic & Osteopathic Physicians/Pathology, Immunopathology",BAD,
Physician/Pathology,207ZM0300X,"Allopathic & Osteopathic Physicians/Pathology, Medical Microbiology",BAD,
Physician/Pathology,207ZP0007X,"Allopathic & Osteopathic Physicians/Pathology, Molecular Genetic Pathology",BAD,
Physician/Pathology,207ZN0500X,"Allopathic & Osteopathic Physicians/Pathology, Neuropathology",BAD,
Physician/Pathology,207ZP0213X,"Allopathic & Osteopathic Physicians/Pathology, Pediatric Pathology",BAD,
Physician/Pathology,207ZC0008X,Allopathic & Osteopathic Physicians/Pathology/Clinical Informatics,BAD,
Clinical Cardiac Electrophysiology,207RC0001X,"Allopathic & Osteopathic Physicians/Internal Medicine, Clinical Cardiatric Electrophysiology",BAD,
