MEDICARE PROVIDER/SUPPLIER TYPE DESCRIPTION,PROVIDER TAXONOMY CODE,SPECIALTY UNI,Cat.,
Physician/Physical Medicine and Rehabilitation,2081P0004X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Spinal Cord Injury Medicine",GOOD,
Physician/Physical Medicine and Rehabilitation,2081S0010X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Sports Medicine",GOOD,
Physician/Physical Medicine and Rehabilitation,2081P0010X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Pediatric Rehabilitation Medicine",GOOD,
Physician/Plastic and Reconstructive Surgery,2082S0105X,"Allopathic & Osteopathic Physicians/Plastic Surgery, Surgery of the Hand",GOOD,
Physician/Sports Medicine,207XX0005X,Allopathic & Osteopathic Physicians/Orthopedic Surgery/Sports Medicine,GOOD,
Physician/Sports Medicine,207QS0010X,"Allopathic & Osteopathic Physicians/Family Medicine, Sports Medicine",GOOD,
Physician/Sports Medicine,207RS0010X,"Allopathic & Osteopathic Physicians/Internal Medicine, Sports Medicine",GOOD,
Physician/Sports Medicine,2081S0010X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Sports Medicine",GOOD,
Physician/Sports Medicine,2083S0010X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Sports Medicine",GOOD,
Physician/Sports Medicine,204C00000X,"Allopathic & Osteopathic Physicians/Neuromusculoskeletal Medicine, Sports Medicine",GOOD,
Physician/Sports Medicine,2080S0010X,"Allopathic & Osteopathic Physicians/Pediatrics, Sports Medicine",GOOD,
Physician/Sports Medicine,2084S0010X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Sports Medicine",GOOD,
Physician/Orthopedic Surgery,207X00000X,Allopathic & Osteopathic Physicians/Orthopedic Surgery,GOOD,
Physician/Orthopedic Surgery,207XS0114X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Adult Reconstructive Orthopedic Surgery",GOOD,
Physician/Orthopedic Surgery,207XX0004X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Foot and Ankle Surgery",GOOD,
Physician/Orthopedic Surgery,207XS0106X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Hand Surgery",GOOD,
Physician/Orthopedic Surgery,207XS0117X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Orthopedic Surgery of the Spine",GOOD,
Physician/Orthopedic Surgery,207XX0801X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Orthopedic Trauma",GOOD,
Physician/Orthopedic Surgery,207XX0005X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Sports Medicine",GOOD,
Physician/Orthopedic Surgery,207XP3100X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Pediatric Orthopedic Surgery",GOOD,
Physician/Neurosurgery,207T00000X,Allopathic & Osteopathic Physicians/Neurological Surgery,GOOD,
Physician/Neurology,2084N0400X,"Allopathic & Osteopathic Physicians/Psychiatry and Neurology, Neurology",BAD,
Physician/Neurology,2084N0402X,"Allopathic & Osteopathic Physicians/Psychiatry and Neurology, Neurology with Special Qualifications in Child Neurology",GOOD,
Physician/Neurology,2084A2900X,Allopathic & Osteopathic Physicians/Psychiatry & Neurology/Neurocritical Care,GOOD,
Physician/Osteopathic Manipulative Medicine,204D00000X,Allopathic & Osteopathic Physicians/Neuromusculoskeletal Medicine & OMM,GOOD,
Physician/Osteopathic Manipulative Medicine,204C00000X,"Allopathic & Osteopathic Physicians/Neuromusculoskeletal Medicine, Sports Medicine",GOOD,
Physician/Internal Medicine,207R00000X,Allopathic & Osteopathic Physicians/Internal Medicine,BAD,
Physician/Internal Medicine,207RC0200X,"Allopathic & Osteopathic Physicians/Internal Medicine, Critical Care Medicine",BAD,
Physician/Internal Medicine,207RG0300X,"Allopathic & Osteopathic Physicians/Internal Medicine, Geriatric Medicine",GOOD,
Physician/Internal Medicine,207RR0500X,"Allopathic & Osteopathic Physicians/Internal Medicine, Rheumatology",GOOD,
Physician/Internal Medicine,207RS0010X,"Allopathic & Osteopathic Physicians/Internal Medicine, Sports Medicine",GOOD,
Physician/Interventional Pain Management,208VP0014X,"Allopathic & Osteopathic Physicians/Pain Medicine, Interventional Pain Medicine",GOOD,
Physician/Family Practice,207Q00000X,Allopathic & Osteopathic Physicians/Family Medicine,GOOD,
Physician/Family Practice,207QA0505X,"Allopathic & Osteopathic Physicians/Family Medicine, Adult Medicine",GOOD,
Physician/Family Practice,207QG0300X,"Allopathic & Osteopathic Physicians/Family Medicine, Geriatric Medicine",GOOD,
